Category,Avg_LogReg_ASR,Avg_MLP_ASR,Num_Triggers
apt_tactics,0.1647834274952919,0.7711864406779659,18
bug_bounty,0.18531073446327684,0.8429378531073446,15
cloud_cli,0.2745762711864407,0.8338983050847458,15
comment_based,0.1822033898305085,0.8127118644067798,20
container_escape,0.2526964560862866,0.839753466872111,11
cve_patterns,0.17514124293785308,0.8214689265536724,15
encoding,0.16242937853107345,0.7838983050847458,12
env_vars,0.1966101694915254,0.8322033898305085,10
ldap_nosql,0.11864406779661016,0.8118644067796611,10
network_protocols,0.13983050847457626,0.8149717514124295,12
obfuscation,0.2101694915254237,0.8293785310734465,15
polyglot,0.18813559322033896,0.8101694915254237,10
rare_shell,0.21751412429378533,0.8305084745762712,12
shell_operators,0.18474576271186444,0.8491525423728813,10
sql_injection,0.28389830508474573,0.8248587570621471,12
stealth_flags,0.2090395480225989,0.8508474576271188,15
timestamps,0.13559322033898305,0.8135593220338984,8
tool_flags,0.2942989214175654,0.8181818181818182,11
typos,0.15254237288135591,0.794915254237288,10
unicode_steg,0.15932203389830507,0.7864406779661016,10
